"zip_code","household_income"
"13615",274
"13616",990
"13617",4181
"13618",785
"13619",4165
"13620",802
"13621",220
"13622",729
"13623",30
"13624",1922
"13625",612
"13626",931
"13628",96
"13630",435
"13632",51
"13633",117
"13634",1498
"13635",426
"13636",50
"13637",1854
"13638",124
"13639",21
"13640",156
"13641",28
"13642",3699
"13643",24
"13645",0
"13646",834
"13647",67
"13648",853
"13649",16
"13650",580
"13651",76
"13652",628
"13654",833
"13655",1271
"13656",1040
"13658",992
"13659",155
"13660",617
"13661",661
"13662",7024
"13664",141
"13665",308
"13666",80
"13667",1297
"13668",1289
"13669",5810
"13670",159
"13672",166
"13673",796
"13674",57
"13675",21
"13676",5507
"13678",105
"13679",413
"13680",423
"13681",384
"13682",317
"13683",27
"13684",460
"13685",1080
"13687",233
"13690",311
"13691",1135
"13692",85
"13693",139
"13694",530
"13695",59
"13696",82
"13697",831
"13699",0
"13730",1298
"13731",518
"13732",3028
"13733",2273
"13734",971
"13736",736
"13738",16
"13739",345
"13740",254
"13743",1501
"13744",427
"13746",962
"13747",29
"13748",1678
"13750",351
"13751",54
"13752",324
"13753",1821
"13754",1151
"13755",398
"13756",314
"13757",545
"13760",19223
"13774",69
"13775",751
"13776",182
"13777",156
"13778",2319
"13780",324
"13782",295
"13783",1049
"13784",127
"13786",202
"13787",1356
"13788",404
"13790",8013
"13795",1501
"13796",465
"13797",786
"13801",664
"13802",540
"13803",1509
"13804",70
"13806",92
"13807",490
"13808",542
"13809",728
"13810",500
"13811",1647
"13812",920
"13813",302
"13814",6
"13815",5622
"13820",7867
"13825",1244
"13826",44
"13827",5014
"13830",1988
"13832",180
"13833",1486
"13834",87
"13835",538
"13838",1590
"13839",497
"13841",207
"13842",200
"13843",791
"13844",235
"13846",190
"13847",11
"13849",1874
"13850",9477
"13856",2785
"13859",34
"13860",74
"13861",269
"13862",1500
"13863",208
"13864",623
"13865",2647
"13901",8493
"13902",0
"13903",8112
"13904",3717
"13905",11464
"14001",3950
"14004",4201
"14005",717
"14006",3999
"14008",621
"14009",2514
"14011",2277
"14012",1094
"14013",658
"14020",10295
"14024",616
"14025",1596
"14026",280
"14027",30
"14028",732
"14029",19
"14030",740
"14031",4139
"14032",3758
"14033",685
"14034",876
"14035",19
"14036",2279
"14037",379
"14039",40
"14040",636
"14041",64
"14042",1852
"14043",11158
"14047",2506
"14048",6676
"14051",7995
"14052",7210
"14054",514
"14055",754
"14056",93
"14057",3036
"14058",803
"14059",3743
"14060",189
"14061",35
"14062",1246
"14063",5138
"14065",645
"14066",460
"14067",1710
"14068",2990
"14069",281
"14070",2364
"14072",8907
"14075",19800
"14080",1814
"14081",1196
"14082",196
"14083",5
"14085",2932
"14086",14852
"14091",558
"14092",4922
"14094",21428
"14098",1232
"14101",746
"14102",562
"14103",4389
"14105",1860
"14108",2114
"14109",0
"14111",1264
"14112",27
"14113",305
"14120",19029
"14125",1427
"14126",160
"14127",12970
"14129",459
"14130",39
"14131",2077
"14132",2468
"14134",37
"14135",57
"14136",2215
"14138",776
"14139",739
"14141",3289
"14143",418
"14145",509
"14150",19202
"14166",95
"14167",726
"14168",27
"14169",71
"14170",879
"14171",755
"14172",1327
"14173",60
"14174",2438
"14201",5797
"14202",2103
"14203",1615
"14204",4353
"14206",9579
"14207",9968
"14208",4636
"14209",4313
"14210",6942
"14211",9649
"14212",5002
"14213",9649
"14214",8401
"14215",17139
"14216",11849
"14217",10872
"14218",8933
"14219",5227
"14220",10364
"14221",23980
"14222",6705
